production_name,genome_uuid,meta_key,desired_meta_value,dataset_type,species_id,table_location
,bf907b5e-32f3-4cd4-94ba-71671135855e,genebuild.method_display,Mapping from GRCh38,genebuild,1,dataset_attribute
,97afb47f-cd0f-44eb-9339-41a8933f790a,genebuild.method_display,Mapping from GRCh38,genebuild,1,dataset_attribute
,407ccf85-b4bd-49e7-bfda-5d1a7ccb8bfe,genebuild.method_display,Mapping from GRCh38,genebuild,1,dataset_attribute
,15def6dc-e243-4c7e-af2a-a05d94217d1c,genebuild.method_display,Mapping from GRCh38,genebuild,1,dataset_attribute
,8925da41-d555-4eae-a522-b80551425832,genebuild.method_display,Mapping from GRCh38,genebuild,1,dataset_attribute
,3327b0f4-bff1-4caa-a9f9-5fda16ece14f,genebuild.method_display,Mapping from GRCh38,genebuild,1,dataset_attribute
,7669fea5-5909-4c7b-a48e-a05a897e31fc,genebuild.method_display,Mapping from GRCh38,genebuild,1,dataset_attribute
,1af6251f-1294-4838-aa7f-b03261abb6db,genebuild.method_display,Mapping from GRCh38,genebuild,1,dataset_attribute
,7960e957-38e3-4fe3-aae5-00fe6dad2b7f,genebuild.method_display,Mapping from GRCh38,genebuild,1,dataset_attribute
,4c8e8d12-646f-4feb-9bc9-8ec6ad23cc4e,genebuild.method_display,Mapping from GRCh38,genebuild,1,dataset_attribute
,f46c4ae8-14be-42fa-b1fe-a177820a051e,genebuild.method_display,Mapping from GRCh38,genebuild,1,dataset_attribute
,1ef370bc-d2b9-4131-9fe2-10ebb087e743,genebuild.method_display,Mapping from GRCh38,genebuild,1,dataset_attribute
,1a28db12-c6cb-4e60-b09a-387700edae90,genebuild.method_display,Mapping from GRCh38,genebuild,1,dataset_attribute
,e91e6e63-0628-450f-aefd-d75dd5cc042a,genebuild.method_display,Mapping from GRCh38,genebuild,1,dataset_attribute
,7d43be46-a839-419a-9bcd-92b0dd92cca3,genebuild.method_display,Mapping from GRCh38,genebuild,1,dataset_attribute
,c9de5114-d574-4880-85b0-1449ee559c19,genebuild.method_display,Mapping from GRCh38,genebuild,1,dataset_attribute
,0e827adf-aecd-41c4-83f8-e763af9b8543,genebuild.method_display,Mapping from GRCh38,genebuild,1,dataset_attribute
,bc0929c4-d4c9-4a0e-a2ed-2800982fe613,genebuild.method_display,Mapping from GRCh38,genebuild,1,dataset_attribute
,c0dc666f-7799-402b-a990-555815efee30,genebuild.method_display,Mapping from GRCh38,genebuild,1,dataset_attribute
,d602c5d0-4ff3-4899-9df1-0ded3a9bb340,genebuild.method_display,Mapping from GRCh38,genebuild,1,dataset_attribute
,899dbf7b-09af-4e3a-b5f7-0b0793d21623,genebuild.method_display,Mapping from GRCh38,genebuild,1,dataset_attribute
,a1bd6527-68bd-462b-9a74-774786761ec1,genebuild.method_display,Mapping from GRCh38,genebuild,1,dataset_attribute
,b9312959-b300-4ef6-b220-fdb31e54c4fa,genebuild.method_display,Mapping from GRCh38,genebuild,1,dataset_attribute
,53d05bcc-0dce-479a-9a46-e6d922564cb8,genebuild.method_display,Mapping from GRCh38,genebuild,1,dataset_attribute
,bf75edfa-4583-40c9-b69f-572e09e524a0,genebuild.method_display,Mapping from GRCh38,genebuild,1,dataset_attribute
,f512d9d3-a281-43bf-922e-3144c1debcac,genebuild.method_display,Mapping from GRCh38,genebuild,1,dataset_attribute
,528e427a-f11b-4514-974c-e94275592bd2,genebuild.method_display,Mapping from GRCh38,genebuild,1,dataset_attribute
,445af956-895e-43e9-b91f-78f562bcbcb7,genebuild.method_display,Mapping from GRCh38,genebuild,1,dataset_attribute
,4ee1496a-9153-4300-b5f3-46458283899d,genebuild.method_display,Mapping from GRCh38,genebuild,1,dataset_attribute
,b58c38c2-391d-4471-a117-1a07109cf75e,genebuild.method_display,Mapping from GRCh38,genebuild,1,dataset_attribute
,81c1b516-5f02-46b7-9720-7de9a5fd7d70,genebuild.method_display,Mapping from GRCh38,genebuild,1,dataset_attribute
,d0341df2-f4b1-466d-9d7a-f6be13c3b516,genebuild.method_display,Mapping from GRCh38,genebuild,1,dataset_attribute
,498167d0-115c-4053-82a6-ecc41f8e6ab3,genebuild.method_display,Mapping from GRCh38,genebuild,1,dataset_attribute
,b2aea77f-5dbf-4ce1-9d5b-c0b178c4511c,genebuild.method_display,Mapping from GRCh38,genebuild,1,dataset_attribute
,68cb07be-1440-4be1-8c93-0cbcd03448be,genebuild.method_display,Mapping from GRCh38,genebuild,1,dataset_attribute
,2f291d0f-e090-4b87-8a77-aaf1ecc51c13,genebuild.method_display,Mapping from GRCh38,genebuild,1,dataset_attribute
,f40b1f69-dac2-4a7f-93ef-9ee8aadd9d14,genebuild.method_display,Mapping from GRCh38,genebuild,1,dataset_attribute
,debbb799-d587-4b51-8dd0-f5220e7cf96c,genebuild.method_display,Mapping from GRCh38,genebuild,1,dataset_attribute
,2cbabf3c-b652-4491-81c8-d8090619aae6,genebuild.method_display,Mapping from GRCh38,genebuild,1,dataset_attribute
,09bae82f-b78a-4b76-b8e2-e925e7c1c8e0,genebuild.method_display,Mapping from GRCh38,genebuild,1,dataset_attribute
,6bd9f98d-47f0-4445-8d45-2fccd96044fc,genebuild.method_display,Mapping from GRCh38,genebuild,1,dataset_attribute
,fce6d3c8-7084-40bd-b5f9-0afc323c6d56,genebuild.method_display,Mapping from GRCh38,genebuild,1,dataset_attribute
,c558fae3-b565-482a-b903-a7a3be20ec90,genebuild.method_display,Mapping from GRCh38,genebuild,1,dataset_attribute
,3064523c-dd30-407c-8257-cd2bf80134e0,genebuild.method_display,Mapping from GRCh38,genebuild,1,dataset_attribute
,0d6b72a5-c760-4331-b6f1-27ebfd7d6ecd,genebuild.method_display,Mapping from GRCh38,genebuild,1,dataset_attribute
,c1de90c7-887c-465a-893b-ba64392f8c66,genebuild.method_display,Mapping from GRCh38,genebuild,1,dataset_attribute
,79033dcd-c27a-4d12-9280-e834f55bb8d7,genebuild.method_display,Mapping from GRCh38,genebuild,1,dataset_attribute
,8cd05a35-3627-4cac-83ed-c16be1009108,genebuild.method_display,Mapping from GRCh38,genebuild,1,dataset_attribute
,a463fdec-a0bd-4ebc-bd32-db4301832faf,genebuild.method_display,Mapping from GRCh38,genebuild,1,dataset_attribute
,f4929f16-547c-4cab-9897-7e171a2cfa54,genebuild.method_display,Mapping from GRCh38,genebuild,1,dataset_attribute
,34fc99e8-6ab0-4757-b0bd-c2892ca11fb8,genebuild.method_display,Mapping from GRCh38,genebuild,1,dataset_attribute
,5b352fa8-c2fe-436f-a7f8-287346274936,genebuild.method_display,Mapping from GRCh38,genebuild,1,dataset_attribute
,f6fe6b0e-22d7-41e2-b279-707025c14028,genebuild.method_display,Mapping from GRCh38,genebuild,1,dataset_attribute
,4884f175-effc-4f40-bd3d-ea0c6dabb6b0,genebuild.method_display,Mapping from GRCh38,genebuild,1,dataset_attribute
,27a1d5c4-dbce-4661-a8f6-92bcb349537f,genebuild.method_display,Mapping from GRCh38,genebuild,1,dataset_attribute
,b0957f87-d706-40cb-b63c-cf996f320d02,genebuild.method_display,Mapping from GRCh38,genebuild,1,dataset_attribute
,1cd89523-e02a-4ebb-b5b6-1b760d4c0618,genebuild.method_display,Mapping from GRCh38,genebuild,1,dataset_attribute
,d451f41c-dafb-4165-a220-3660cee82896,genebuild.method_display,Mapping from GRCh38,genebuild,1,dataset_attribute
,4e63526a-9388-48b0-9a12-b6d53c03a5fb,genebuild.method_display,Mapping from GRCh38,genebuild,1,dataset_attribute
,451814d3-be61-4d43-882b-243c1cab2fc8,genebuild.method_display,Mapping from GRCh38,genebuild,1,dataset_attribute
,40218a63-5086-4f23-818c-dd9dccb04232,genebuild.method_display,Mapping from GRCh38,genebuild,1,dataset_attribute
,1976fe45-0110-42bd-8505-40434013bd98,genebuild.method_display,Mapping from GRCh38,genebuild,1,dataset_attribute
,c1891f20-11d2-4fe9-ad89-6bfa4611cf73,genebuild.method_display,Mapping from GRCh38,genebuild,1,dataset_attribute
,ab481c07-21fb-4175-b0e1-14ed6aa632ac,genebuild.method_display,Mapping from GRCh38,genebuild,1,dataset_attribute
,889a2eef-0f15-486c-8070-4ceab8440264,genebuild.method_display,Mapping from GRCh38,genebuild,1,dataset_attribute
,32a489e7-1455-44a6-9c02-ab3d426b2569,genebuild.method_display,Mapping from GRCh38,genebuild,1,dataset_attribute
,115f1039-ad61-4080-8052-58bd8cdfb1f2,genebuild.method_display,Mapping from GRCh38,genebuild,1,dataset_attribute
,c2016b05-4789-4d0a-a04c-4ed020bda880,genebuild.method_display,Mapping from GRCh38,genebuild,1,dataset_attribute
,1fabb32f-fc74-4c88-add7-d89b8ab698fe,genebuild.method_display,Mapping from GRCh38,genebuild,1,dataset_attribute
,8f57d5d9-0725-498f-b046-01f7ab9c4d1f,genebuild.method_display,Mapping from GRCh38,genebuild,1,dataset_attribute
,175e6baf-1cfc-480a-86b3-f8fa4cbbb9d1,genebuild.method_display,Mapping from GRCh38,genebuild,1,dataset_attribute
,31ed29a6-36a5-47b6-8e72-344b22e347ac,genebuild.method_display,Mapping from GRCh38,genebuild,1,dataset_attribute
,03a63211-2349-4d84-be31-890b9ec16629,genebuild.method_display,Mapping from GRCh38,genebuild,1,dataset_attribute
,a76ef1d1-fcc3-4c1a-be9c-3352e0e8e097,genebuild.method_display,Mapping from GRCh38,genebuild,1,dataset_attribute
,4c7dc576-cdc1-4039-b648-08830b6d15ea,genebuild.method_display,Mapping from GRCh38,genebuild,1,dataset_attribute
,5d8761e3-8719-47be-92ef-d962e7b1bf12,genebuild.method_display,Mapping from GRCh38,genebuild,1,dataset_attribute
,82f69593-4619-430b-af7b-f957ddde53fd,genebuild.method_display,Mapping from GRCh38,genebuild,1,dataset_attribute
,aff0d576-f1ff-49f1-b3a2-c6276a1e2144,genebuild.method_display,Mapping from GRCh38,genebuild,1,dataset_attribute
,e18a7909-f9bc-4f42-96e7-de3e05259ce5,genebuild.method_display,Mapping from GRCh38,genebuild,1,dataset_attribute
,4d8add07-29f2-4581-87ce-cb21a79016f3,genebuild.method_display,Mapping from GRCh38,genebuild,1,dataset_attribute
,a4ff733e-ba2f-40a1-85b4-ed4ba7e990ad,genebuild.method_display,Mapping from GRCh38,genebuild,1,dataset_attribute
,53b7d784-6a3c-4af1-b720-4c7aa20dfa45,genebuild.method_display,Mapping from GRCh38,genebuild,1,dataset_attribute
,35acf098-a296-476b-91d1-9a07bd9706d1,genebuild.method_display,Mapping from GRCh38,genebuild,1,dataset_attribute
,8800445a-cbcf-4096-b285-d99e9e603d62,genebuild.method_display,Mapping from GRCh38,genebuild,1,dataset_attribute
,d4c50815-c9ee-4741-9473-08c31b66cb82,genebuild.method_display,Mapping from GRCh38,genebuild,1,dataset_attribute
,43b30fde-c54a-4e0e-b892-5463e85301d0,genebuild.method_display,Mapping from GRCh38,genebuild,1,dataset_attribute
,d46f7136-e590-40d3-b6a3-e2863cfe8f94,genebuild.method_display,Mapping from GRCh38,genebuild,1,dataset_attribute
,fb9181da-ba76-480f-99e6-999702824612,genebuild.method_display,Mapping from GRCh38,genebuild,1,dataset_attribute
,aad89561-2b30-4a6b-ac8b-d1175d9e221f,genebuild.method_display,Mapping from GRCh38,genebuild,1,dataset_attribute
,b3a37878-b09d-499f-b8ca-d8be6aff98ce,genebuild.method_display,Mapping from GRCh38,genebuild,1,dataset_attribute
,8ea6bdd8-fc0e-40b8-ac48-add897d11cc9,genebuild.method_display,Mapping from GRCh38,genebuild,1,dataset_attribute
,90d58b4c-bf88-44a6-b22b-9046826247d5,genebuild.method_display,Mapping from GRCh38,genebuild,1,dataset_attribute
,c3b5ed11-255d-4ec9-a34f-2f339617c66d,genebuild.method_display,Mapping from GRCh38,genebuild,1,dataset_attribute
,788dfeab-06db-4b80-9963-507a273a710b,genebuild.method_display,Mapping from GRCh38,genebuild,1,dataset_attribute
,15cdf0c6-0531-448f-8456-2e5534433a31,genebuild.method_display,Mapping from GRCh38,genebuild,1,dataset_attribute
,784d8d8f-18be-499f-8ec2-a43250e3d104,genebuild.method_display,Mapping from GRCh38,genebuild,1,dataset_attribute
,6570ba34-ffcc-4aba-917e-5b9bcfbc45ee,genebuild.method_display,Mapping from GRCh38,genebuild,1,dataset_attribute
,df76e512-dfd2-4be4-9a38-1eea8d9480db,genebuild.method_display,Mapping from GRCh38,genebuild,1,dataset_attribute
,8afa690d-c520-4a2c-8721-76615ddca7a4,genebuild.method_display,Mapping from GRCh38,genebuild,1,dataset_attribute
,f7b062c4-52b9-4890-8f90-a2872c2fce4e,genebuild.method_display,Mapping from GRCh38,genebuild,1,dataset_attribute
,c919184e-0952-473e-b4e9-23505ab7c29b,genebuild.method_display,Mapping from GRCh38,genebuild,1,dataset_attribute
,cbae5435-2921-4c3c-9f3f-bc725709e2fb,genebuild.method_display,Mapping from GRCh38,genebuild,1,dataset_attribute
,ccfb87fe-b1d7-49c5-8106-8b7e8395d79c,genebuild.method_display,Mapping from GRCh38,genebuild,1,dataset_attribute
,bebfc3c2-c3ab-4b74-9311-1f982b59b87d,genebuild.method_display,Mapping from GRCh38,genebuild,1,dataset_attribute
,a966327a-4078-465e-a6d7-6e5a335a398d,genebuild.method_display,Mapping from GRCh38,genebuild,1,dataset_attribute
,9d5cb990-da87-40ce-856a-34429721a8b8,genebuild.method_display,Mapping from GRCh38,genebuild,1,dataset_attribute
,fa799bb6-5e44-4feb-a991-4d1b849be8d5,genebuild.method_display,Mapping from GRCh38,genebuild,1,dataset_attribute
,b39b5e27-ae53-485f-888b-635c4f552120,genebuild.method_display,Mapping from GRCh38,genebuild,1,dataset_attribute
,28e70b30-e95d-48d1-bd40-cc27a22b7ac8,genebuild.method_display,Mapping from GRCh38,genebuild,1,dataset_attribute
,fa796d7d-cfab-45b1-8501-9ee4fcc8d962,genebuild.method_display,Mapping from GRCh38,genebuild,1,dataset_attribute
,b23dcc54-4d1b-42c9-951a-8336a0dffdf8,genebuild.method_display,Mapping from GRCh38,genebuild,1,dataset_attribute
,0de4f42a-9f54-4b34-aac4-2154aa9c9df8,genebuild.method_display,Mapping from GRCh38,genebuild,1,dataset_attribute
,60010b92-f059-4b1b-8e4c-cd46d5bde170,genebuild.method_display,Mapping from GRCh38,genebuild,1,dataset_attribute
,199e21f1-6976-4499-9d1f-011511526d0e,genebuild.method_display,Mapping from GRCh38,genebuild,1,dataset_attribute
,8789565b-c3cd-4d81-96eb-c226e5fc7c58,genebuild.method_display,Mapping from GRCh38,genebuild,1,dataset_attribute
,e02891ee-6f49-48fc-9101-04cc04fb2967,genebuild.method_display,Mapping from GRCh38,genebuild,1,dataset_attribute
,b3e3ed8f-56ed-4e26-ad21-244b4d0d61e0,genebuild.method_display,Mapping from GRCh38,genebuild,1,dataset_attribute
,d722128b-925c-4b46-b497-bd291df84710,genebuild.method_display,Mapping from GRCh38,genebuild,1,dataset_attribute
,883467c3-2f94-40a9-acc7-223477dc4dc6,genebuild.method_display,Mapping from GRCh38,genebuild,1,dataset_attribute
